epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26286,1.88188,4.70524,1.23991,0,0,0,0,1.31331,4.4153,0.99052,9.996e-05,9.996e-05,9.996e-05
2,14.3554,1.32912,3.95371,0.95103,0.00908,0.16345,0.01961,0.01009,1.18766,4.18656,0.92779,0.000204132,0.000204132,0.000204132
3,21.358,1.31377,3.3514,0.9345,0.0304,0.76161,0.15584,0.08388,1.17597,3.72207,0.90516,0.000305274,0.000305274,0.000305274
4,28.3761,1.32576,2.80298,0.93645,0.03741,0.9341,0.22439,0.13559,1.16029,3.11961,0.90932,0.000403387,0.000403387,0.000403387
5,35.1567,1.30155,2.49596,0.92088,0.52034,0.13682,0.28318,0.17668,1.16267,2.72814,0.92146,0.00049847,0.00049847,0.00049847
6,41.9607,1.24455,2.20489,0.92983,0.37696,0.23589,0.32192,0.2036,1.20425,2.34692,0.93825,0.000590524,0.000590524,0.000590524
7,48.7413,1.25673,2.06246,0.94634,0.38958,0.25409,0.32422,0.20436,1.23975,2.33631,0.95854,0.000653412,0.000653412,0.000653412
8,55.4934,1.22474,1.89924,0.93954,0.33587,0.42602,0.40971,0.26497,1.2252,1.98131,0.97145,0.000643314,0.000643314,0.000643314
9,62.2279,1.19416,1.81053,0.92932,0.32743,0.58621,0.50108,0.32303,1.19788,1.63727,0.96763,0.000633216,0.000633216,0.000633216
10,69.0707,1.20758,1.73525,0.92017,0.36611,0.55814,0.523,0.3433,1.20413,1.45106,0.97655,0.000623118,0.000623118,0.000623118
11,76.1253,1.19593,1.65505,0.92273,0.40062,0.59358,0.56256,0.37412,1.13777,1.42549,0.96678,0.00061302,0.00061302,0.00061302
12,83.2051,1.22349,1.63217,0.93269,0.42877,0.62847,0.59591,0.38195,1.19939,1.32113,0.98086,0.000602922,0.000602922,0.000602922
13,90.381,1.2063,1.55157,0.94573,0.48348,0.65231,0.63259,0.42713,1.12082,1.23223,0.96067,0.000592824,0.000592824,0.000592824
14,97.3225,1.16207,1.48093,0.92683,0.48539,0.68783,0.65244,0.44084,1.11033,1.21492,0.95637,0.000582726,0.000582726,0.000582726
15,104.178,1.14649,1.40154,0.93158,0.50993,0.68056,0.67098,0.4656,1.0979,1.18478,0.94933,0.000572628,0.000572628,0.000572628
16,111.013,1.14446,1.37881,0.93705,0.56596,0.67606,0.68501,0.47639,1.10175,1.1507,0.95339,0.00056253,0.00056253,0.00056253
17,117.853,1.16657,1.35362,0.93613,0.62089,0.74046,0.7383,0.50319,1.11114,1.19254,0.95816,0.000552432,0.000552432,0.000552432
18,124.676,1.18043,1.326,0.95489,0.70243,0.73234,0.79499,0.53945,1.10087,1.15424,0.951,0.000542334,0.000542334,0.000542334
19,131.731,1.11494,1.32964,0.9154,0.73763,0.78868,0.83812,0.55197,1.1476,1.03962,0.95793,0.000532236,0.000532236,0.000532236
20,138.646,1.10192,1.24366,0.91348,0.80398,0.76819,0.85132,0.57969,1.09692,0.97711,0.94659,0.000522138,0.000522138,0.000522138
21,145.554,1.13807,1.2344,0.93578,0.79695,0.79697,0.85729,0.57155,1.10913,1.04034,0.94754,0.00051204,0.00051204,0.00051204
22,152.611,1.10753,1.20677,0.9206,0.76728,0.81405,0.86319,0.57606,1.10713,1.02592,0.9469,0.000501942,0.000501942,0.000501942
23,159.769,1.15292,1.23396,0.93885,0.82142,0.7686,0.87608,0.57324,1.16239,0.95241,0.96194,0.000491844,0.000491844,0.000491844
24,166.566,1.11023,1.14877,0.91192,0.83711,0.82443,0.89288,0.61776,1.06818,0.92298,0.94295,0.000481746,0.000481746,0.000481746
25,173.476,1.13855,1.1509,0.93534,0.89363,0.79893,0.89219,0.60733,1.09397,0.88951,0.94812,0.000471648,0.000471648,0.000471648
26,180.349,1.11286,1.10767,0.93076,0.81677,0.85788,0.90921,0.59488,1.13513,0.91678,0.95475,0.00046155,0.00046155,0.00046155
27,187.177,1.09115,1.09804,0.92035,0.83188,0.83697,0.92317,0.62437,1.0806,0.8578,0.94165,0.000451452,0.000451452,0.000451452
28,193.938,1.11924,1.07419,0.92553,0.86666,0.88696,0.93451,0.62631,1.12605,0.82565,0.9554,0.000441354,0.000441354,0.000441354
29,200.796,1.07282,1.04296,0.91143,0.87689,0.86123,0.92925,0.61674,1.14071,0.82839,0.96118,0.000431256,0.000431256,0.000431256
30,207.674,1.09422,1.04671,0.91699,0.912,0.85324,0.93538,0.62329,1.13169,0.81755,0.95868,0.000421158,0.000421158,0.000421158
31,214.475,1.09563,1.03387,0.91908,0.94395,0.87364,0.93722,0.63642,1.10358,0.78119,0.95286,0.00041106,0.00041106,0.00041106
32,221.467,1.12945,1.00283,0.94082,0.94781,0.86685,0.94295,0.63858,1.10721,0.7825,0.95186,0.000400962,0.000400962,0.000400962
33,228.311,1.06453,0.94542,0.9174,0.93383,0.88441,0.95062,0.64788,1.11364,0.77339,0.9506,0.000390864,0.000390864,0.000390864
34,235.221,1.08292,0.96065,0.92339,0.94437,0.88334,0.95344,0.64308,1.09827,0.74633,0.95075,0.000380766,0.000380766,0.000380766
35,242.033,1.07188,0.93134,0.91655,0.95438,0.88575,0.95621,0.64847,1.10969,0.73609,0.95348,0.000370668,0.000370668,0.000370668
36,249.005,1.06521,0.92606,0.90761,0.9637,0.86421,0.95653,0.65176,1.10775,0.74603,0.95348,0.00036057,0.00036057,0.00036057
37,255.988,1.11538,0.9783,0.92697,0.907,0.8989,0.9572,0.64893,1.11162,0.74735,0.95313,0.000350472,0.000350472,0.000350472
38,263.332,1.11246,0.94609,0.95405,0.91605,0.92181,0.9578,0.65604,1.11097,0.72015,0.95257,0.000340374,0.000340374,0.000340374
39,270.498,1.06899,0.92047,0.90301,0.94323,0.92195,0.95957,0.65361,1.10768,0.71185,0.95134,0.000330276,0.000330276,0.000330276
40,277.254,1.05732,0.89063,0.91275,0.9371,0.89988,0.95968,0.65771,1.08334,0.7025,0.94729,0.000320178,0.000320178,0.000320178
41,284.007,1.06055,0.89161,0.91776,0.93625,0.87025,0.95757,0.65309,1.09777,0.72401,0.95004,0.00031008,0.00031008,0.00031008
42,290.811,1.06926,0.91604,0.91949,0.93454,0.87695,0.95673,0.65602,1.10161,0.7071,0.95053,0.000299982,0.000299982,0.000299982
43,297.558,1.05418,0.84907,0.92768,0.95019,0.87872,0.95648,0.66003,1.07995,0.68604,0.94972,0.000289884,0.000289884,0.000289884
44,304.351,1.04887,0.87389,0.90905,0.94804,0.878,0.95725,0.64885,1.10352,0.68808,0.95686,0.000279786,0.000279786,0.000279786
