epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8675,1.60796,4.05962,1.08242,0.01846,0.43515,0.08752,0.04532,1.49082,4.27313,0.97911,0.00017136,0.00017136,0.00017136
2,90.4996,1.2989,2.19499,0.94329,0.02512,0.46685,0.176,0.10383,1.47897,3.9373,1.00912,0.000342933,0.000342933,0.000342933
3,142.534,1.22657,1.52905,0.94959,0.04405,0.4731,0.24528,0.14988,1.47422,3.43385,1.00373,0.000507437,0.000507437,0.000507437
4,199.941,1.19328,1.31631,0.94257,0.78036,0.20404,0.28698,0.18257,1.41399,2.79835,0.98309,0.000664873,0.000664873,0.000664873
5,257.267,1.17632,1.14503,0.94486,0.78445,0.2525,0.35147,0.22366,1.39478,2.28202,0.97981,0.000657451,0.000657451,0.000657451
6,324.325,1.14411,1.00773,0.93082,0.69232,0.23985,0.28524,0.18051,1.42264,1.70018,0.99166,0.000643314,0.000643314,0.000643314
7,400.972,1.14539,0.93348,0.93551,0.63528,0.25805,0.28769,0.18338,1.3561,1.39475,0.97871,0.000629177,0.000629177,0.000629177
8,477.568,1.14203,0.87752,0.94416,0.67883,0.22417,0.25742,0.16319,1.38418,1.33854,0.97613,0.00061504,0.00061504,0.00061504
9,556.677,1.13042,0.84624,0.93325,0.67689,0.24013,0.2767,0.17748,1.34229,1.17229,0.97819,0.000600902,0.000600902,0.000600902
10,641.345,1.11193,0.81493,0.93096,0.75451,0.27289,0.32708,0.2165,1.3256,1.19285,0.96759,0.000586765,0.000586765,0.000586765
11,720.105,1.11212,0.77285,0.92778,0.78285,0.28274,0.33105,0.20864,1.35268,1.12016,0.97644,0.000572628,0.000572628,0.000572628
12,796.042,1.10514,0.75677,0.92632,0.75982,0.3163,0.36067,0.23315,1.33599,1.03051,0.97512,0.000558491,0.000558491,0.000558491
13,874.88,1.09632,0.73874,0.92512,0.73229,0.35521,0.39993,0.25604,1.33303,1.0094,0.97519,0.000544354,0.000544354,0.000544354
14,958.547,1.11758,0.72569,0.93139,0.79702,0.32643,0.37313,0.24359,1.30749,0.9939,0.9662,0.000530216,0.000530216,0.000530216
15,1047.58,1.11374,0.73139,0.92612,0.72991,0.31904,0.34269,0.22302,1.34008,1.0222,0.97598,0.000516079,0.000516079,0.000516079
16,1126.63,1.09354,0.70594,0.92695,0.68604,0.31022,0.33275,0.21282,1.35586,0.96495,0.98021,0.000501942,0.000501942,0.000501942
17,1212.87,1.09976,0.69568,0.9236,0.73625,0.27791,0.32532,0.20873,1.38678,0.99147,0.98551,0.000487805,0.000487805,0.000487805
18,1298.24,1.09365,0.67937,0.92208,0.81469,0.31482,0.35337,0.22384,1.34132,0.90969,0.97615,0.000473668,0.000473668,0.000473668
19,1401.31,1.08072,0.67836,0.918,0.76651,0.36223,0.41092,0.2654,1.30291,0.94742,0.96516,0.00045953,0.00045953,0.00045953
20,1484.76,1.08762,0.66743,0.92345,0.76367,0.37746,0.41598,0.27098,1.31156,0.91057,0.96757,0.000445393,0.000445393,0.000445393
21,1572.6,1.08277,0.64242,0.92219,0.79303,0.41663,0.4709,0.30071,1.31495,0.9236,0.96526,0.000431256,0.000431256,0.000431256
22,1674.14,1.05425,0.61564,0.91374,0.87365,0.4216,0.48472,0.31141,1.31451,0.85537,0.9646,0.000417119,0.000417119,0.000417119
23,1770.28,1.08286,0.63864,0.92654,0.79721,0.43443,0.47923,0.3079,1.30972,0.85755,0.97032,0.000402982,0.000402982,0.000402982
24,1858.27,1.07734,0.63783,0.918,0.86163,0.51356,0.58029,0.36635,1.31938,0.85465,0.96929,0.000388844,0.000388844,0.000388844
25,1949.61,1.07156,0.61685,0.91865,0.89003,0.66897,0.76475,0.48726,1.30332,0.82491,0.96248,0.000374707,0.000374707,0.000374707
26,2039.89,1.06327,0.60019,0.92073,0.84828,0.55378,0.62115,0.3974,1.29985,0.81143,0.96445,0.00036057,0.00036057,0.00036057
27,2134.79,1.07396,0.6102,0.91785,0.85696,0.62654,0.70139,0.43939,1.30583,0.81438,0.97066,0.000346433,0.000346433,0.000346433
28,2223.07,1.06767,0.59417,0.91931,0.89677,0.59445,0.67408,0.4244,1.31553,0.81905,0.96989,0.000332296,0.000332296,0.000332296
29,2305.2,1.04877,0.58404,0.91241,0.92211,0.70842,0.79691,0.50902,1.29434,0.78071,0.9659,0.000318158,0.000318158,0.000318158
30,2400.75,1.06258,0.58254,0.92046,0.85804,0.78437,0.85329,0.53569,1.33044,0.78374,0.97484,0.000304021,0.000304021,0.000304021
31,2489.71,1.05631,0.58582,0.91701,0.8871,0.72612,0.79839,0.50599,1.31887,0.78811,0.96707,0.000289884,0.000289884,0.000289884
32,2589.24,1.06521,0.57918,0.92176,0.88571,0.81732,0.90485,0.57024,1.30296,0.78354,0.96441,0.000275747,0.000275747,0.000275747
33,2678.17,1.06182,0.5799,0.91895,0.89106,0.81946,0.90307,0.571,1.30627,0.77907,0.96388,0.00026161,0.00026161,0.00026161
34,2761.75,1.04202,0.56354,0.9128,0.89592,0.73292,0.80518,0.50712,1.31259,0.79542,0.96556,0.000247472,0.000247472,0.000247472
35,2855.15,1.04293,0.55711,0.908,0.88475,0.73782,0.79914,0.50446,1.32886,0.77415,0.96856,0.000233335,0.000233335,0.000233335
36,2943,1.03075,0.5447,0.91005,0.88728,0.72829,0.79789,0.50692,1.31548,0.77043,0.96493,0.000219198,0.000219198,0.000219198
37,3035.53,1.03978,0.55578,0.90997,0.89425,0.80715,0.90164,0.56786,1.31668,0.77745,0.96658,0.000205061,0.000205061,0.000205061
38,3123.29,1.04139,0.55742,0.90764,0.8925,0.80035,0.90445,0.56432,1.32301,0.78313,0.97358,0.000190924,0.000190924,0.000190924
39,3210.33,1.04884,0.55624,0.91816,0.88634,0.80758,0.90189,0.56681,1.32403,0.78791,0.96976,0.000176786,0.000176786,0.000176786
40,3292.47,1.03106,0.54675,0.9128,0.88998,0.83081,0.90507,0.57287,1.30843,0.75301,0.96731,0.000162649,0.000162649,0.000162649
41,3402.67,1.05204,0.54831,0.94452,0.90863,0.80233,0.89844,0.55783,1.32909,0.7893,0.96833,0.000148512,0.000148512,0.000148512
42,3508.19,1.02782,0.51835,0.93655,0.89929,0.81452,0.90239,0.57132,1.31771,0.76413,0.96767,0.000134375,0.000134375,0.000134375
43,3618.91,1.03019,0.52348,0.93114,0.89692,0.71806,0.79019,0.50252,1.3043,0.77719,0.96725,0.000120238,0.000120238,0.000120238
